Cust_ID,Location_Type,Investment_risk_tol,Avg_mon_expense,Investment_needs,BAnking_Needs,Pref_channel,Lifestyle,Net_Worth,Persona,Biz_Type,Biz_Size,Biz_Age,Turnover,Credit_Score
939,Metro,High,86079.2608333333,Wealth accumulation,Recurring Deposits,Mobile Banking,Luxury,477643369,Rural Customers,Manufacturing,3.0,6.0,166205785.0,896
940,Suburban,High,572.441666666667,Capital preservation,Personal Loans,Mobile Banking,Frugal,95269690,Rural Customers,Energy,10.0,14.0,100314797.0,768
941,Tier 1 city,Medium,101834.026666667,Tax savings,Home Loans,Branch,Semi-Luxury,223986708,Housewives,Other,,,,537
942,Suburban,Medium,15254.2625,Short-term gains,Current Account,Branch,Frugal,397096768,High Net Worth Individuals (HNIs),Media and Entertainment,6.0,15.0,122240324.0,754
943,Urban,Medium,7973.62666666667,Short-term gains,Current Account,Internet Banking,Luxury,414487582,Senior Citizens,,,,,382
944,Metro,Low,32334.3766666667,Retirement planning,Credit Card,Mobile Banking,Middle-class,238238866,Young Professionals,Real Estate,,,,613
945,Tier 3 city,High,65994.8491666667,Capital preservation,Insurance,Internet Banking,Middle-class,356615643,Senior Citizens,Education,,,,739
946,Semi-urban,Low,94645.9375,Tax savings,Home Loans,ATM,Budget,275774767,Self-Employed Professionals,Fashion,20.0,23.0,57253280.0,872
947,Metro,Medium,39111.55,Wealth accumulation,Insurance,Branch,Middle-class,211462005,Young Professionals,Non-Profit,,,,482
948,Coastal,High,83907.15,Tax savings,Car Loans,Mobile Banking,Luxury,463163112,Self-Employed Professionals,Agriculture,13.0,11.0,107134060.0,814
949,Rural,High,160249.6,Wealth accumulation,Savings Account,Phone Banking,Luxury,168362673,Salaried Employees,IT Services,,,,638
950,Tier 3 city,Medium,77252.4625,Stable returns,Home Loans,ATM,Budget,129069159,Students,Finance,,,,689
951,Tier 1 city,Low,59025.9833333333,Tax savings,Home Loans,Mobile Banking,Luxury,287519258,Students,Art and Design,,,,896
952,Semi-urban,Low,153096.153333333,Long-term growth,Savings Account,ATM,Minimalist,376425638,Students,,,,,578
953,Coastal,High,292727.985,Short-term gains,Current Account,Phone Banking,Budget,354886056,Rural Customers,Hospitality,8.0,23.0,164492306.0,607
954,Suburban,High,21441.0725,Short-term gains,Current Account,Internet Banking,Luxury,90792927,Self-Employed Professionals,Telecommunications,0.0,9.0,158224063.0,473
955,Coastal,Medium,87638.1833333333,Capital preservation,Education Loans,Phone Banking,Budget,466852914,Young Professionals,Agriculture,,,,709
956,Coastal,High,76583.1091666667,Retirement planning,Home Loans,Relationship Manager,Budget,361376887,NRIs (Non-Resident Indians),Sports and Fitness,15.0,22.0,14704251.0,606
957,Tier 1 city,Low,10241.9166666667,Capital preservation,Current Account,Relationship Manager,Minimalist,242912900,Senior Citizens,E-commerce,,,,809
958,Coastal,Low,103.660833333333,Retirement planning,Fixed Deposits,Internet Banking,Budget,492250328,Self-Employed Professionals,Government,12.0,15.0,92167766.0,496
959,Tier 1 city,Low,2696.11083333333,Capital preservation,Savings Account,Branch,Frugal,365795395,Self-Employed Professionals,,12.0,25.0,80107677.0,790
960,Tier 1 city,High,107928.96,Tax savings,Recurring Deposits,Mobile Banking,Minimalist,70269034,Students,Fashion,,,,854
961,Semi-urban,Medium,14581.1083333333,Retirement planning,Insurance,Branch,Budget,246807648,Self-Employed Professionals,Finance,10.0,15.0,102337818.0,460
962,Hill station,Low,86892.6133333333,Wealth accumulation,Education Loans,ATM,Budget,42449112,NRIs (Non-Resident Indians),Education,25.0,3.0,30012366.0,683
963,Metro,High,42708.7516666667,Tax savings,Car Loans,Mobile Banking,Semi-Luxury,149599238,Young Professionals,Agriculture,,,,491
964,Hill station,High,6525.00416666667,Wealth accumulation,Recurring Deposits,Internet Banking,Minimalist,367551336,High Net Worth Individuals (HNIs),Finance,15.0,25.0,19755647.0,320
965,Tier 1 city,High,154621.18,Retirement planning,Savings Account,Branch,Frugal,440132561,Students,Hospitality,,,,337
966,Suburban,Low,82031.75,Stable returns,Car Loans,Mobile Banking,Minimalist,201465730,High Net Worth Individuals (HNIs),Automotive,7.0,1.0,96675679.0,390
967,Tier 3 city,Medium,40804.0316666667,Long-term growth,Education Loans,Phone Banking,Semi-Luxury,267017552,Housewives,Beauty and Wellness,,,,771
968,Coastal,Low,147286.2,Capital preservation,Education Loans,Internet Banking,Middle-class,132093922,Salaried Employees,Other,,,,823
969,Tier 1 city,Medium,84140.1075,Tax savings,Current Account,Phone Banking,Middle-class,469290981,Students,Other,,,,827
970,Rural,High,181148.833333333,Retirement planning,Fixed Deposits,Internet Banking,Frugal,169351349,Young Professionals,Hospitality,,,,336
971,Coastal,Medium,100191.075833333,Long-term growth,Fixed Deposits,Relationship Manager,Budget,243911142,Rural Customers,Non-Profit,25.0,11.0,166740280.0,784
972,Hill station,Medium,21431.9141666667,Stable returns,Fixed Deposits,Branch,Middle-class,416695995,High Net Worth Individuals (HNIs),Non-Profit,17.0,0.0,144256673.0,830
973,Tier 1 city,Medium,33525.28,Tax savings,Insurance,Phone Banking,Luxury,417787685,NRIs (Non-Resident Indians),Construction,25.0,8.0,178901187.0,399
974,Coastal,Medium,247329.225,Capital preservation,Car Loans,ATM,Luxury,441819876,NRIs (Non-Resident Indians),Non-Profit,13.0,10.0,36751173.0,846
975,Tier 3 city,High,184068.82,Capital preservation,Credit Card,Relationship Manager,Luxury,204980922,Self-Employed Professionals,E-commerce,5.0,19.0,191103227.0,792
976,Tier 3 city,High,234617.6525,Long-term growth,Car Loans,Internet Banking,Frugal,338918875,Small Business Owners,Manufacturing,11.0,15.0,71551904.0,835
977,Coastal,Low,184557.04,Stable returns,Credit Card,ATM,Middle-class,428961231,Senior Citizens,Finance,,,,754
978,Suburban,High,15131.6183333333,Short-term gains,Fixed Deposits,ATM,Luxury,187030784,Students,E-commerce,,,,657
979,Suburban,High,30439.25,Long-term growth,Savings Account,ATM,Frugal,223126566,Salaried Employees,Retail,,,,389
980,Suburban,Low,149665.979166667,Stable returns,Recurring Deposits,Relationship Manager,Budget,392855619,NRIs (Non-Resident Indians),Media and Entertainment,12.0,0.0,49502571.0,588
981,Tier 3 city,Low,137823.075833333,Tax savings,Insurance,Internet Banking,Minimalist,177322422,Rural Customers,Transportation,5.0,11.0,8509877.0,410
982,Coastal,High,148638.816666667,Retirement planning,Insurance,Branch,Middle-class,355851142,NRIs (Non-Resident Indians),Non-Profit,19.0,19.0,57026683.0,795
983,Urban,Medium,76159.1966666667,Stable returns,Personal Loans,Internet Banking,Frugal,425880666,Rural Customers,,14.0,13.0,107983454.0,429
984,Metro,Low,159100.48,Stable returns,Savings Account,Internet Banking,Semi-Luxury,108101818,Rural Customers,IT Services,9.0,20.0,13107728.0,307
985,Semi-urban,High,78135.86,Stable returns,Recurring Deposits,Phone Banking,Budget,401585281,Students,E-commerce,,,,492
986,Tier 3 city,Medium,10867.3075,Wealth accumulation,Home Loans,Branch,Minimalist,128379924,Housewives,Other,,,,770
987,Coastal,Low,3825.17,Short-term gains,Fixed Deposits,ATM,Semi-Luxury,291038040,Housewives,Manufacturing,,,,562
988,Hill station,Medium,228583.458333333,Wealth accumulation,Fixed Deposits,ATM,Frugal,482657704,Rural Customers,Automotive,2.0,23.0,172167271.0,405
989,Tier 1 city,Medium,13006.7,Long-term growth,Fixed Deposits,Phone Banking,Minimalist,217519003,Housewives,Automotive,,,,425
990,Tier 3 city,Medium,32200.82,Tax savings,Personal Loans,ATM,Budget,52916479,High Net Worth Individuals (HNIs),Sports and Fitness,12.0,3.0,28768471.0,721
991,Metro,Medium,192817.085833333,Wealth accumulation,Credit Card,ATM,Luxury,289396819,Housewives,Consulting,,,,604
992,Tier 3 city,High,195520.173333333,Tax savings,Fixed Deposits,Branch,Luxury,373799380,NRIs (Non-Resident Indians),Telecommunications,23.0,16.0,61344525.0,699
993,Semi-urban,Medium,1810.30666666667,Short-term gains,Fixed Deposits,Mobile Banking,Luxury,37884577,High Net Worth Individuals (HNIs),Finance,21.0,4.0,90328966.0,359
994,Semi-urban,Low,137616.581666667,Short-term gains,Car Loans,ATM,Luxury,97266471,Students,Energy,,,,721
995,Coastal,Medium,360633.1525,Short-term gains,Fixed Deposits,ATM,Middle-class,92630199,Students,Non-Profit,,,,606
996,Rural,Medium,6668.2525,Long-term growth,Recurring Deposits,ATM,Frugal,161953412,NRIs (Non-Resident Indians),Agriculture,2.0,6.0,188716305.0,312
997,Tier 3 city,Medium,366075.896666667,Short-term gains,Personal Loans,Relationship Manager,Semi-Luxury,274855286,Rural Customers,Healthcare,15.0,1.0,58474411.0,580
998,Tier 3 city,High,2499.75,Wealth accumulation,Car Loans,Mobile Banking,Minimalist,240124616,Salaried Employees,IT Services,,,,742
999,Tier 1 city,High,137644.98,Wealth accumulation,Fixed Deposits,Phone Banking,Minimalist,29541330,Rural Customers,Beauty and Wellness,0.0,12.0,97889878.0,720
1000,Tier 3 city,Medium,287807.4375,Long-term growth,Car Loans,Branch,Semi-Luxury,321397683,NRIs (Non-Resident Indians),Sports and Fitness,17.0,23.0,80898230.0,492
1001,Tier 1 city,Low,139620.375,Wealth accumulation,Personal Loans,Relationship Manager,Semi-Luxury,449971185,Small Business Owners,Food and Beverage,3.0,2.0,20937225.0,658
1002,Tier 2 city,Low,62458.92,Capital preservation,Recurring Deposits,Phone Banking,Semi-Luxury,422975588,Salaried Employees,Fashion,,,,828
1003,Tier 3 city,High,80060.145,Short-term gains,Car Loans,Phone Banking,Budget,34843348,Salaried Employees,Healthcare,,,,558
1004,Semi-urban,Low,63619.6275,Capital preservation,Credit Card,Mobile Banking,Semi-Luxury,226856210,Small Business Owners,Healthcare,10.0,2.0,71424842.0,662
1005,Suburban,High,110727.710833333,Capital preservation,Personal Loans,Phone Banking,Budget,289389929,Small Business Owners,Telecommunications,9.0,5.0,34365299.0,387
1006,Rural,High,172187.6,Wealth accumulation,Credit Card,Internet Banking,Semi-Luxury,279896851,Rural Customers,Food and Beverage,8.0,11.0,114463394.0,871
1007,Semi-urban,Medium,0.0,Capital preservation,Current Account,Relationship Manager,Frugal,461583655,Young Professionals,Hospitality,,,,469
1008,Coastal,High,86030.53,Stable returns,Education Loans,ATM,Budget,189881443,High Net Worth Individuals (HNIs),Sports and Fitness,21.0,5.0,173776295.0,359
1009,Rural,Low,111181.666666667,Wealth accumulation,Fixed Deposits,Mobile Banking,Middle-class,316367520,Young Professionals,Real Estate,,,,575
1010,Tier 1 city,Medium,232453.95,Stable returns,Current Account,Mobile Banking,Middle-class,254297,Students,Media and Entertainment,,,,350
1011,Coastal,Low,8186.2,Retirement planning,Recurring Deposits,ATM,Luxury,218913177,Senior Citizens,Hospitality,,,,698
1012,Semi-urban,Medium,71285.265,Retirement planning,Savings Account,Mobile Banking,Frugal,115480771,Salaried Employees,IT Services,,,,326
1013,Urban,High,232347.17,Tax savings,Car Loans,Relationship Manager,Luxury,227328224,Housewives,Consulting,,,,365
1014,Suburban,High,236946.5,Stable returns,Personal Loans,Relationship Manager,Frugal,311909890,Housewives,Agriculture,,,,871
1015,Hill station,Low,74672.275,Capital preservation,Education Loans,Relationship Manager,Minimalist,471544987,Students,Consulting,,,,435
1016,Suburban,Medium,92268.575,Retirement planning,Personal Loans,Mobile Banking,Budget,271866113,NRIs (Non-Resident Indians),Education,18.0,6.0,183967682.0,669
1017,Tier 3 city,Low,89757.96,Retirement planning,Fixed Deposits,ATM,Budget,214499702,NRIs (Non-Resident Indians),Other,17.0,14.0,27845853.0,809
1018,Metro,Low,68116.685,Stable returns,Fixed Deposits,Relationship Manager,Frugal,423791846,Senior Citizens,Sports and Fitness,,,,846
1019,Tier 2 city,High,36640.78,Wealth accumulation,Savings Account,ATM,Luxury,34956496,Senior Citizens,Consulting,,,,339
1020,Tier 2 city,Medium,41635.8933333333,Capital preservation,Recurring Deposits,ATM,Luxury,29955113,Young Professionals,Sports and Fitness,,,,562
1021,Tier 3 city,High,84102.3433333333,Long-term growth,Insurance,Mobile Banking,Budget,471004090,Students,Sports and Fitness,,,,339
1022,Urban,High,102572.6975,Stable returns,Personal Loans,Phone Banking,Minimalist,239854989,Young Professionals,Finance,,,,592
1023,Tier 1 city,Medium,51868.4666666667,Wealth accumulation,Home Loans,Internet Banking,Budget,269788807,NRIs (Non-Resident Indians),Food and Beverage,21.0,13.0,136622200.0,690
1024,Tier 3 city,Low,45596.3083333333,Retirement planning,Current Account,ATM,Middle-class,477107959,Rural Customers,Transportation,12.0,2.0,114131593.0,318
1025,Tier 1 city,Low,184497.133333333,Retirement planning,Recurring Deposits,Relationship Manager,Luxury,427667909,Young Professionals,Fashion,,,,627
1026,Suburban,High,80905.32,Short-term gains,Current Account,Mobile Banking,Luxury,151015597,Housewives,Energy,,,,392
1027,Tier 2 city,High,36433.8566666667,Stable returns,Current Account,ATM,Frugal,464780754,Salaried Employees,Automotive,,,,363
1028,Tier 3 city,Medium,327981.426666667,Retirement planning,Credit Card,Internet Banking,Budget,33711485,Housewives,Fashion,,,,796
1029,Semi-urban,Medium,22304.1666666667,Short-term gains,Insurance,ATM,Budget,429102252,Young Professionals,E-commerce,,,,450
1030,Hill station,High,21484.795,Capital preservation,Current Account,Phone Banking,Middle-class,307320768,Self-Employed Professionals,Finance,23.0,18.0,89858678.0,872
1031,Metro,Low,54725.3625,Stable returns,Fixed Deposits,Internet Banking,Budget,411477348,Self-Employed Professionals,Media and Entertainment,20.0,25.0,52992291.0,697
1032,Hill station,Low,9920.64333333333,Tax savings,Fixed Deposits,Internet Banking,Middle-class,120050359,High Net Worth Individuals (HNIs),Telecommunications,17.0,3.0,98476229.0,573
1033,Rural,Low,210521.685,Retirement planning,Education Loans,Phone Banking,Middle-class,405512425,NRIs (Non-Resident Indians),Finance,24.0,5.0,35242559.0,508
1034,Tier 3 city,Medium,316543.275,Tax savings,Fixed Deposits,Relationship Manager,Minimalist,204228843,High Net Worth Individuals (HNIs),Media and Entertainment,23.0,17.0,80725693.0,723
1035,Metro,High,317599.5525,Capital preservation,Car Loans,Relationship Manager,Luxury,97268666,Housewives,E-commerce,,,,386
1036,Urban,High,139223.36,Long-term growth,Personal Loans,Mobile Banking,Luxury,469721960,Salaried Employees,Manufacturing,,,,704
1037,Tier 1 city,Low,48435.375,Capital preservation,Insurance,Internet Banking,Semi-Luxury,416218539,Self-Employed Professionals,Healthcare,21.0,11.0,38940783.0,348
1038,Tier 1 city,Medium,145704.78,Capital preservation,Fixed Deposits,Internet Banking,Frugal,266179512,Self-Employed Professionals,Media and Entertainment,25.0,23.0,191991539.0,382
1039,Rural,Low,146288.503333333,Tax savings,Home Loans,ATM,Middle-class,68723479,Young Professionals,Consulting,,,,373
1040,Hill station,High,59028.35,Capital preservation,Current Account,Mobile Banking,Luxury,425891926,Housewives,Agriculture,,,,522
1041,Metro,Low,15548.3416666667,Capital preservation,Recurring Deposits,Relationship Manager,Budget,455773705,NRIs (Non-Resident Indians),Fashion,8.0,25.0,176010675.0,463
1042,Urban,Low,252002.7525,Short-term gains,Current Account,ATM,Semi-Luxury,10761726,High Net Worth Individuals (HNIs),Consulting,4.0,7.0,140895668.0,478
1043,Tier 1 city,High,83490.5866666667,Tax savings,Personal Loans,ATM,Budget,153773621,Small Business Owners,Telecommunications,10.0,6.0,86140389.0,373
1044,Metro,High,296543.76,Tax savings,Car Loans,Mobile Banking,Semi-Luxury,43496228,Students,Art and Design,,,,605
1045,Tier 2 city,Medium,81415.7083333333,Stable returns,Current Account,Relationship Manager,Middle-class,31761192,Small Business Owners,Real Estate,1.0,6.0,185537538.0,646
1046,Rural,Medium,134873.583333333,Tax savings,Insurance,Branch,Frugal,194031134,Housewives,Automotive,,,,644
1047,Tier 1 city,High,84140.045,Short-term gains,Insurance,ATM,Minimalist,252703616,Young Professionals,Agriculture,,,,655
1048,Suburban,High,108248.876666667,Long-term growth,Personal Loans,Phone Banking,Minimalist,449087485,Salaried Employees,Healthcare,,,,540
1049,Hill station,Medium,393227.325,Stable returns,Savings Account,Phone Banking,Semi-Luxury,417803010,Young Professionals,IT Services,,,,563
1050,Semi-urban,Medium,9429.3225,Capital preservation,Education Loans,Relationship Manager,Minimalist,64809914,Salaried Employees,Automotive,,,,618
1051,Tier 2 city,Low,228450.6175,Stable returns,Home Loans,Internet Banking,Frugal,130903418,Senior Citizens,Agriculture,,,,390
1052,Tier 1 city,Medium,239069.453333333,Long-term growth,Recurring Deposits,ATM,Frugal,307798806,Self-Employed Professionals,E-commerce,9.0,2.0,48881764.0,422
1053,Tier 1 city,Low,169490.795833333,Short-term gains,Education Loans,Relationship Manager,Middle-class,42871298,Students,E-commerce,,,,803
1054,Coastal,Medium,320159.975,Long-term growth,Savings Account,Branch,Frugal,109196784,NRIs (Non-Resident Indians),Consulting,8.0,4.0,113453605.0,848
1055,Urban,Medium,250247.235,Tax savings,Insurance,Mobile Banking,Budget,176988680,Rural Customers,Transportation,16.0,12.0,43319650.0,389
1056,Coastal,Medium,180846.638333333,Short-term gains,Savings Account,ATM,Semi-Luxury,319561990,Rural Customers,Consulting,5.0,7.0,131322086.0,343
1057,Rural,Low,193451.904166667,Long-term growth,Insurance,Branch,Frugal,15636602,Senior Citizens,IT Services,,,,862
1058,Suburban,Medium,301714.13,Short-term gains,Home Loans,Mobile Banking,Semi-Luxury,241248056,Small Business Owners,Automotive,12.0,24.0,177109927.0,861
1059,Metro,Low,12006.575,Retirement planning,Savings Account,Internet Banking,Budget,322782864,High Net Worth Individuals (HNIs),Transportation,2.0,17.0,133337381.0,319
1060,Urban,Medium,24088.3908333333,Capital preservation,Fixed Deposits,Relationship Manager,Minimalist,365509508,Senior Citizens,Real Estate,,,,714
1061,Coastal,Low,2622.855,Stable returns,Home Loans,ATM,Minimalist,262943895,Small Business Owners,Transportation,7.0,8.0,19485434.0,819
1062,Coastal,Medium,43264.7308333333,Retirement planning,Home Loans,Relationship Manager,Budget,23613697,Small Business Owners,Construction,2.0,24.0,172547192.0,549
1063,Rural,High,18610.4333333333,Tax savings,Savings Account,ATM,Frugal,31183589,Housewives,IT Services,,,,394
1064,Rural,High,88317.1391666667,Wealth accumulation,Credit Card,Relationship Manager,Semi-Luxury,408847534,Students,,,,,306
1065,Coastal,Low,14459.3166666667,Stable returns,Savings Account,ATM,Semi-Luxury,129168558,NRIs (Non-Resident Indians),Manufacturing,18.0,15.0,141038639.0,509
1066,Semi-urban,Medium,8869.79666666667,Retirement planning,Home Loans,Phone Banking,Frugal,38019779,Rural Customers,Media and Entertainment,19.0,9.0,143584242.0,874
1067,Coastal,High,202561.2225,Retirement planning,Home Loans,Branch,Budget,28150928,Salaried Employees,Telecommunications,,,,641
1068,Semi-urban,Low,7222.38916666667,Wealth accumulation,Fixed Deposits,Internet Banking,Semi-Luxury,142249164,Housewives,Energy,,,,842
1069,Rural,Low,91955.8208333333,Short-term gains,Insurance,Branch,Middle-class,70614353,NRIs (Non-Resident Indians),Telecommunications,23.0,23.0,85909751.0,819
1070,Hill station,Medium,23791.3691666667,Wealth accumulation,Home Loans,Phone Banking,Minimalist,123723164,NRIs (Non-Resident Indians),Retail,15.0,2.0,123814709.0,731
1071,Tier 2 city,Low,41477.2925,Short-term gains,Personal Loans,Internet Banking,Budget,334127917,Students,Education,,,,312
1072,Semi-urban,High,59270.855,Tax savings,Savings Account,Branch,Semi-Luxury,350321649,Self-Employed Professionals,Food and Beverage,5.0,15.0,91888681.0,842
1073,Metro,Low,45759.3466666667,Wealth accumulation,Current Account,Branch,Budget,78457860,Senior Citizens,Construction,,,,719
1074,Tier 1 city,Medium,69897.0416666667,Stable returns,Home Loans,Internet Banking,Minimalist,330677251,Senior Citizens,Retail,,,,407
1075,Tier 3 city,Medium,4635.83333333333,Long-term growth,Car Loans,Branch,Frugal,55396053,Senior Citizens,Sports and Fitness,,,,505
1076,Semi-urban,Medium,3494.795,Retirement planning,Home Loans,Branch,Frugal,367666608,Self-Employed Professionals,Telecommunications,21.0,22.0,187811858.0,372
1077,Hill station,Medium,88976.86,Retirement planning,Personal Loans,Branch,Middle-class,446135392,Rural Customers,E-commerce,5.0,11.0,148501774.0,374
1078,Rural,Medium,54896.57,Retirement planning,Insurance,Relationship Manager,Minimalist,337951052,NRIs (Non-Resident Indians),Consulting,11.0,17.0,27052837.0,666
1079,Suburban,High,17125.85,Long-term growth,Fixed Deposits,Mobile Banking,Semi-Luxury,373011700,Salaried Employees,Telecommunications,,,,612
1080,Urban,Low,97639.06,Retirement planning,Car Loans,Phone Banking,Frugal,8351281,Housewives,Consulting,,,,583
1081,Suburban,High,118820.926666667,Capital preservation,Credit Card,ATM,Luxury,372403732,High Net Worth Individuals (HNIs),Agriculture,24.0,7.0,166495995.0,447
1082,Tier 3 city,Medium,46791.0,Long-term growth,Savings Account,Internet Banking,Frugal,471483173,NRIs (Non-Resident Indians),Hospitality,21.0,16.0,192279982.0,452
1083,Tier 3 city,High,34494.5833333333,Stable returns,Insurance,Branch,Minimalist,42898907,NRIs (Non-Resident Indians),Real Estate,4.0,3.0,78787903.0,736
1084,Tier 2 city,High,85964.575,Stable returns,Car Loans,Mobile Banking,Luxury,227425867,Housewives,Media and Entertainment,,,,707
1085,Metro,High,26470.61,Capital preservation,Education Loans,Mobile Banking,Semi-Luxury,271069523,Senior Citizens,,,,,849
1086,Semi-urban,Medium,6339.1825,Tax savings,Fixed Deposits,Internet Banking,Budget,197409193,Housewives,Finance,,,,656
1087,Hill station,Low,146514.0375,Retirement planning,Savings Account,Mobile Banking,Semi-Luxury,11267657,Self-Employed Professionals,Beauty and Wellness,7.0,1.0,13513703.0,804
1088,Hill station,High,33912.06,Retirement planning,Credit Card,Relationship Manager,Budget,394511084,Housewives,Sports and Fitness,,,,443
1089,Tier 1 city,Medium,150659.7675,Stable returns,Education Loans,ATM,Semi-Luxury,302439213,Rural Customers,Education,6.0,4.0,7164260.0,838
1090,Rural,High,17294.755,Stable returns,Personal Loans,Internet Banking,Semi-Luxury,55699251,Salaried Employees,Agriculture,,,,819
1091,Urban,Medium,16050.9875,Short-term gains,Education Loans,Internet Banking,Middle-class,57834164,Students,Sports and Fitness,,,,443
1092,Tier 3 city,Low,39598.1416666667,Stable returns,Savings Account,Phone Banking,Semi-Luxury,399849487,Housewives,Construction,,,,900
1093,Rural,High,154201.9,Short-term gains,Credit Card,Phone Banking,Middle-class,253110770,Senior Citizens,Beauty and Wellness,,,,714
1094,Metro,Low,248404.970833333,Capital preservation,Car Loans,Phone Banking,Budget,468483170,NRIs (Non-Resident Indians),Media and Entertainment,23.0,25.0,142214594.0,343
1095,Hill station,Low,292387.0,Short-term gains,Credit Card,Internet Banking,Minimalist,401962354,Students,,,,,685
1096,Tier 2 city,Low,267650.6,Retirement planning,Savings Account,ATM,Semi-Luxury,249120384,High Net Worth Individuals (HNIs),Automotive,1.0,21.0,84883357.0,487
1097,Suburban,Low,192682.544166667,Wealth accumulation,Recurring Deposits,ATM,Budget,249196408,Housewives,Energy,,,,594
1098,Hill station,Low,113258.45,Stable returns,Home Loans,ATM,Semi-Luxury,103202179,High Net Worth Individuals (HNIs),Telecommunications,18.0,17.0,69562831.0,643
1099,Tier 1 city,Low,59895.585,Short-term gains,Current Account,ATM,Luxury,218819366,High Net Worth Individuals (HNIs),Other,20.0,6.0,171256024.0,707
1100,Suburban,High,1274.8325,Stable returns,Personal Loans,Mobile Banking,Semi-Luxury,47415106,Young Professionals,Hospitality,,,,883
1101,Suburban,Medium,1777.68333333333,Wealth accumulation,Current Account,ATM,Middle-class,256802119,Young Professionals,Finance,,,,405
1102,Tier 3 city,Medium,137106.205833333,Short-term gains,Home Loans,ATM,Frugal,321813099,Salaried Employees,Hospitality,,,,516
1103,Coastal,Medium,99312.0566666667,Capital preservation,Insurance,Mobile Banking,Minimalist,146237436,Young Professionals,Construction,,,,377
1104,Tier 2 city,Medium,98971.4516666667,Long-term growth,Car Loans,Internet Banking,Semi-Luxury,169521089,Housewives,Government,,,,430
1105,Urban,Low,234199.14,Stable returns,Personal Loans,Relationship Manager,Minimalist,219161550,Young Professionals,Agriculture,,,,498
1106,Rural,Low,152235.0,Short-term gains,Insurance,ATM,Middle-class,335904067,Self-Employed Professionals,Hospitality,15.0,6.0,174779039.0,405
1107,Tier 1 city,High,8740.3375,Capital preservation,Education Loans,ATM,Semi-Luxury,385447434,Housewives,Other,,,,710
1108,Tier 2 city,High,9598.42,Long-term growth,Insurance,Relationship Manager,Semi-Luxury,456085213,Senior Citizens,Media and Entertainment,,,,353
1109,Tier 1 city,Low,48609.3625,Long-term growth,Education Loans,Phone Banking,Luxury,56362519,Rural Customers,Sports and Fitness,23.0,1.0,56319635.0,456
1110,Tier 3 city,Medium,61765.4158333333,Capital preservation,Recurring Deposits,Internet Banking,Semi-Luxury,301716052,NRIs (Non-Resident Indians),Other,0.0,10.0,66195276.0,475
1111,Urban,High,54969.3016666667,Tax savings,Fixed Deposits,Mobile Banking,Frugal,173472405,Housewives,Sports and Fitness,,,,549
1112,Coastal,Medium,14551.3766666667,Tax savings,Fixed Deposits,Relationship Manager,Semi-Luxury,143159142,Self-Employed Professionals,Food and Beverage,22.0,17.0,103508598.0,350
1113,Rural,Medium,102452.4175,Stable returns,Home Loans,Relationship Manager,Luxury,342296837,Housewives,Automotive,,,,758
1114,Hill station,Low,196307.248333333,Short-term gains,Education Loans,Internet Banking,Middle-class,296335663,Self-Employed Professionals,Media and Entertainment,22.0,21.0,165435448.0,889
1115,Semi-urban,Medium,164751.491666667,Wealth accumulation,Education Loans,Branch,Semi-Luxury,3682407,Small Business Owners,Media and Entertainment,16.0,16.0,145633026.0,730
1116,Tier 3 city,High,133431.421666667,Retirement planning,Current Account,Branch,Luxury,343796613,Salaried Employees,Transportation,,,,548
1117,Tier 1 city,Medium,25430.2666666667,Tax savings,Fixed Deposits,Relationship Manager,Semi-Luxury,406466919,Small Business Owners,Fashion,17.0,25.0,2356206.0,484
1118,Rural,Medium,189126.171666667,Short-term gains,Personal Loans,Internet Banking,Minimalist,131011701,Senior Citizens,Government,,,,423
1119,Coastal,Medium,25104.51,Tax savings,Credit Card,Mobile Banking,Middle-class,208296354,Housewives,,,,,842
1120,Tier 1 city,Low,294492.715,Stable returns,Insurance,Relationship Manager,Luxury,320624210,Self-Employed Professionals,Construction,9.0,12.0,126707758.0,548
1121,Tier 2 city,Low,191541.78,Wealth accumulation,Education Loans,Branch,Luxury,1016751,High Net Worth Individuals (HNIs),IT Services,17.0,23.0,154842561.0,837
1122,Tier 1 city,Low,33253.3916666667,Stable returns,Personal Loans,Relationship Manager,Minimalist,289263394,Students,Construction,,,,569
1123,Hill station,Medium,3510.98,Long-term growth,Current Account,Phone Banking,Budget,375125855,NRIs (Non-Resident Indians),Construction,4.0,14.0,16929685.0,811
1124,Tier 3 city,Low,309960.42,Long-term growth,Credit Card,Mobile Banking,Frugal,62876116,Small Business Owners,Art and Design,18.0,6.0,35851989.0,865
1125,Tier 2 city,High,270265.118333333,Capital preservation,Insurance,Internet Banking,Frugal,301634866,Salaried Employees,Healthcare,,,,589
1126,Tier 2 city,Low,121340.679166667,Retirement planning,Current Account,Branch,Semi-Luxury,334509534,Housewives,Automotive,,,,772
1127,Hill station,High,190926.84,Short-term gains,Education Loans,Branch,Middle-class,182183119,Salaried Employees,Media and Entertainment,,,,529
1128,Urban,High,46323.08,Wealth accumulation,Personal Loans,Relationship Manager,Semi-Luxury,364870548,NRIs (Non-Resident Indians),Sports and Fitness,16.0,1.0,114618788.0,878
1129,Suburban,Medium,181120.635,Stable returns,Personal Loans,Relationship Manager,Frugal,291549829,Rural Customers,Real Estate,24.0,24.0,28968805.0,753
1130,Hill station,Low,216964.0375,Capital preservation,Recurring Deposits,Phone Banking,Budget,401761713,Salaried Employees,Beauty and Wellness,,,,370
